1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
2900,3000,"3,152","3,674",4000,4500,5000,5500,6000,6500,6250,6750,7000,7250,"7,248","6,446","5,166","4,096","4,036","3,044","3,646","3,948","4,432","4,679","5,036","4,454","4,416","4,646","4,879","5,255","5,222","5,407","5,224","5,543","5,449","5,369","5,540","5,521","5,083","4,586","4,377","4,056","3,881","4,017","4,140","3,790","3,823",344,"3,693",4259,"4,420","3,032","2,919","5,529","5,464","6,368","7,199","8,581","9,641","10,246","10,749","11,504","12,602","12,357","13,575","15,365","16,400","16,938","18,169","19,074","20,130","21,108","21,680","22,214","24,109","26,034","26,138","27,532","27,272","25,257","27,003","27,526","28,605","29,694","30,723","30,739","31,271","31,437","31,354"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,183,174,175,207,255,293,490,532,571,713,872,"1,072","1,293","1,530","1,666","1,767","1,862","1,908","1,851","1,840","1,944","2,703","1,934","2,042","2,335","2,571","2,541","2,325","2,128","2,196","2,577","2,629","2,632","2,781","3,116","3,072","2,966","2,508","2,775","2,894","2,974","2,682"
473,444,483,534,509,539,587,677,615,572,613,688,696,709,801,796,726,653,603,603,645,784,941,964,894,878,900,931,994,"1,007","1,055","1,118","1,238","1,392","1,493","1,516","1,592","1,679","1,728","1,627","1,694","1,627","1,596","1,692","1,714","1,461","1,401","1,529","1,691","2,101","2,647","2,850","2,982","3,450","3,737","4,360","5,199","6,048","6,743","7,646","8,273","9,038","10,558","11,578","12,726","13,781","14,843","15,850","17,160","19,005","20,291","21,523","22,353","23,500","23,944","25,412","26,463","28,008","29,722","31,106","31,411","33,557","35,490","37,188","38,529","38,423","38,370","38,402","39,062"
"1,297","1,231","1,241","1,124","1,153","1,312","1,374",916,"1,417","1,699","1,872","1,859","1,917","1,896","2,015","1,904","1,611","1,599","1,425","1,100","1,140","1,252","1,446","1,442","1,595","1,541","1,471","1,483","1,470","1,665","1,751","1,721","1,776","1,849","1,911","2,016","2,076","2,066","2,000","1,992","1,970","1,864","1,651",1650,1650,1650,"1,658","1,619","1,679","1,938","2,162","2,431","2,386","2,578","2,980","2,911","3,328","3,922","4,246","4,482","4,611","4,701","5,441","5,519","6,546","7,274","7,722","8,195","7,984","8,831","8,520","8,992","9,936","10,561","11,336","11,851","12,496","12,999","13,244","13,668","13,383","13,713","14,310","14,660","15,144","16,147","16,037","14,615","17,159"
"5,285","5,794","6,049","6,815","7,071","7,116","7,515","8,333","9,042","9,156","8,578","8,108","8,108","8,619",8719,"8,182","7,201","6,018","5,729","5,710","6,628","7,373","8,547","9,563","10,377","11,056","11,464","12,612","13,365","14,572","15,230","15,532","16,918","19,202","19,299","21,660","23,927","24,032","26,133","26,483","26,325","27,467","27,741","28,435","27,535","25,033","17,474","16,970","19,794","21,897","17,296","18,113","17,338","19,550","21,260","23,264","27,913","33,583","38,025","41,652","48,326","57,725","64,812","73,780","84,338","94,122","98,515","98,515","98,515","121,570","131,745","142,865","152,739","159,109","160,517","160,412","157,295","159,984","162,678","164,933","168,982","173,942","172,856","172,583","170,131","164,213","149,025","134,211","135,981"
"1,185","1,129","1,258","1,209","1,250","1,331","1,382","1,348","1,257","1,312","1,321","1,359","1,437","1,639","1,749","1,556","1,536","1,386","1,303","1,174","1,211","1,331","1,389","1,456","1,362","1,490","1,446","1,520","1,597","1,783","1,800","1,912","2,006","1,972","2,012","2,078","2,149","2,356","2,594","2,666","2,766","2,540","2,514","2,338","2,107","2,066","1,957","1,925","1,894","1,968","2,039","2,239","2,311","2,474","2,658","2,609","2,770","3,042","3,244","3,231","3,386","3,804","4,808","5,765","6,908","7,671","8,392","8,997","9,462","10,717","11,063","12,438","13,461","14,312","15,670","16,833","17,448","18,833","19,671","20,293","21,456","22,481","22,841","23,274","22,795","22,815","21,978","20,462","20,371"
948,920,"1,005","1,097","1,210","1,328","1,342","1,366","1,267","1,238","1,299","1,243","1,204","1,174","1,166","1,146","1,055","1,163","1,175","1,115","1,023","1,045","1,078","1,084","1,087","1,020","1,081","1,093","1,173","1,188","1,260","1,263","1,329","1,565","1,500","1,497","1,639","1,653","1,652","1,716","1,642","1,599","1,587","1,444","1,630","1,568","1,938","1,818","1,663","1,464","1,849","1,923","1,647","1,863","2,139","2,750","3,348","3,129","3,577","3,748","4,043","4,326","4,637","4,723","6,309","7,771","8,585","8,794","10,508","10,500","10,419","11,371","11,920","12,193","13,032","13,155","13,276","14,082","13,587","13,240","13,121","13,746","14,397","14,271","13,466","13,308","12,549","11,961","12,162"
200,225,250,275,300,332,340,238,510,470,525,521,,491,435,386,168,151,130,135,153,169,189,178,157,158,161,153,151,165,172,226,213,226,232,226,240,206,208,281,315,270,308,400,555,596,186,279,325,436,582,684,695,"1,005","1,088","1,087","1,248","1,513","1,579","1,546","1,759","1,956","2,159","2,207","2,284","2,241","2,473","2,705","2,781","2,844","3,014","3,119","3,264","3,211","3,730","3,937","4,033","3,659","4,122","4,087","3,972","4,195","4,201","4,067","3,971","3,961","4,003","4,129","4,112"
"1,427","1,910","2,503","1,648","1,592","1,985","2,985","2,951","3,050","3,041","2,849","3,233","3,254","3,578","3,753","3,648","3,799","3,005","2,521","2,415","2,525","2,952","3,460","3,761","3,851","3,973","3,860","3,894","3,878","4,343","4,830","5,107","5,668","6,374","6,802","7,084","7,615","7,599","6,751","6,725","6,995","6,972","7,261","7,946","8,512","9,187","9,653","10,382","10,376","11,217","15,315","17,793","18,917","21,243","19,407","20,211","23,200","27,139","25,393","26,759","28,482","32,228","32,360","34,681","39,966","44,380","46,531","48,285","52,883","57,153","63,866","63,746","64,574","67,193","69,594","71,318","72,404","75,204","82,003","85,530","89,766","92,874","98,219","102,388","103,915","104,306","103,055","101,930","103,028"
"3,007","2,945","3,184","3,424",3500,3550,3600,4000,4250,4500,4750,4500,5000,5250,"5,303","5,085","4,731","3,993","3,309","3,153","3,585","3,693","4,187","4,269","4,449","4,545","4,542","4,719","5,185","5,442","5,701","5,908","6,285","6,824","6,963","6,985","6,851","7,051","7,350","7,309","5,966","5,385","5,300","5,175","5,084","5,113","6,777","8,225","8,310","9,289","10,421","11,025","11,243","10,833","11,666","11,922","12,377","14,038","14,935","14,596","15,363","15,850","17,724","18,018","19,619","21,671","23,009","24,848","27,079","32,523","34,168","34,328","35,787","38,758","42,008","44,141","45,904","47,424","47,200","51,089","48,741","52,781","54,232","52,705","55,516","54,685","53,955","53,990","53,478"
